target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['long', 'middlegame', 'crushing', 'capturingDefender']",388.41455078125,r3r3/5kpp/p4p2/1ppb4/4q3/2P1RN2/PP2QPPP/4R1K1 w - - 8 23,True,False,False,,,
"['short', 'middlegame', 'crushing', 'castling']",431.79443359375,3rk2r/1p1qbppp/p7/8/3Q4/2N5/PPP3PP/2KRR3 w k - 2 16,True,False,False,,,
"['oneMove', 'endgame', 'bishopEndgame', 'advantage', 'intermezzo']",1914.391357421875,7k/8/b3p2p/1p2PP2/2P1p3/8/7P/1B3K2 b - - 0 32,True,False,False,,,
"['veryLong', 'endgame', 'queenRookEndgame', 'advantage', 'skewer']",2241.76025390625,8/1pp5/1k3P2/p7/2QK4/2P2r1p/P7/8 b - - 0 47,True,True,False,"['endgame', 'advantage', 'skewer', 'queenRookEndgame', 'short']",1107.758544921875,True
"['veryLong', 'endgame', 'queenEndgame', 'crushing', 'skewer']",928.1415405273438,7Q/8/6p1/5pk1/8/6P1/p2q1P2/6K1 w - - 10 69,True,True,False,"['endgame', 'mateIn1', 'mate', 'queenEndgame', 'oneMove']",1107.809814453125,False
"['short', 'middlegame', 'advantage', 'advancedPawn']",1215.2142333984375,3r1rk1/1bq1bppp/4pn2/p1pPn3/1pP2B2/1P3B2/P3NPPP/R2Q1RK1 w - - 0 16,True,False,False,,,
"['short', 'middlegame', 'crushing', 'zugzwang']",1660.533935546875,3rqbk1/8/7Q/2p1p1p1/pr1pn3/4P3/1P1N1PPP/2RR2K1 w - - 2 32,True,False,True,,,
"['long', 'opening', 'advantage', 'equality']",461.7352294921875,1kbr1q2/ppQ2pp1/4pn2/7r/2P5/7P/PP1B4/1BKR2NR b - - 0 25,True,False,False,,,
"['short', 'middlegame', 'advantage', 'discoveredAttack']",1053.339111328125,r1b1k2r/ppp1npp1/7p/8/3q4/3B4/PP3PPP/RN1QK2R w KQkq - 0 13,True,True,False,"['middlegame', 'advantage', 'short']",1239.1826171875,False
"['veryLong', 'middlegame', 'crushing', 'pin']",2280.5087890625,6rk/pp3R2/1qb4p/5prB/5Q2/2P3R1/PP3P2/6K1 w - - 3 35,True,False,True,,,
"['short', 'middlegame', 'crushing', 'xRayAttack']",756.8743896484375,2r1r1k1/6pp/pBR5/3Pp3/P7/B4pPP/5P1K/5b1B b - - 0 38,True,False,False,,,
"['oneMove', 'middlegame', 'crushing', 'promotion']",1138.227294921875,r1k5/p5Q1/2p1pr2/2Bb4/8/4R1PK/P4q1P/4R3 b - - 2 34,True,False,False,,,
"['veryLong', 'middlegame', 'crushing', 'intermezzo']",832.8206176757812,r2q1rk1/1p4pp/p2p4/3p4/8/1PP2Q2/1P3P2/2B1RRK1 b - - 0 20,True,False,False,,,
"['short', 'middlegame', 'crushing', 'kingsideAttack']",1253.6590576171875,r4rk1/pp2pp1p/2p2qp1/8/2N5/1P1PPBPb/P4P1P/R1Q2RK1 b - - 0 18,True,False,False,,,
"['oneMove', 'endgame', 'bishopEndgame', 'mate', 'mateIn3', 'bodenMate']",2993.09228515625,8/2k3pp/p1p1p3/P2pP3/1P1PbPPb/2P4P/6P1/4BK2 b - - 3 34,False,False,,,,
"['oneMove', 'endgame', 'queenEndgame', 'crushing', 'enPassant']",1284.5999755859375,8/6pk/2p1p2p/1q5Q/8/P7/5KPP/8 w - - 0 35,True,False,False,,,
"['long', 'middlegame', 'advantage', 'interference']",3087.70849609375,1k1r3r/pbp2p2/1p4p1/2n1P1Q1/q1Pp2B1/3P1N2/4KB2/2R4R b - - 0 31,True,False,False,,,
"['short', 'middlegame', 'advantage', 'advancedPawn']",2581.024658203125,2r3k1/1R1b2p1/p3p2p/P2p4/3PpBPb/1Pq1PB2/Q6P/R5K1 b - - 0 26,True,False,True,,,
"['short', 'opening', 'crushing', 'enPassant']",582.4425048828125,1nrqkb1r/p4ppn/1p2p2p/6P1/3pbP2/6P1/PPPP2BN/R1B1QRK1 w k - 0 15,True,False,False,,,
"['long', 'endgame', 'queenRookEndgame', 'mate', 'mateIn2', 'doubleBishopMate']",314.6139221191406,4r2k/pp5p/1q6/3p4/8/7P/PPP1R1PK/r3B3 w - - 0 27,True,False,False,,,
"['long', 'opening', 'advantage', 'exposedKing']",478.08453369140625,3rkb1r/pbpq1ppp/1p2p3/8/1nB1P3/P4P2/1P4PP/RQBB1KNR b k - 0 12,True,False,False,,,
"['short', 'endgame', 'queenEndgame', 'crushing', 'discoveredAttack']",3116.790283203125,5k2/p5pp/1p1K1p2/3Pp3/P3P3/8/4q3/2Q5 w - - 2 34,True,False,False,,,
"['veryLong', 'endgame', 'bishopEndgame', 'mate', 'mateIn4', 'arabianMate']",3193.6328125,4b2k/5K2/6p1/1p4Bp/pP6/P6P/Bb6/8 w - - 24 48,True,False,False,,,
"['oneMove', 'middlegame', 'mate', 'mateIn3', 'bodenMate']",3220.28271484375,r1b2k1r/pppp1Bpp/2n2n2/6B1/3bP2P/2N5/PqP2RP1/5RK1 w - - 2 14,True,False,True,,,
"['short', 'endgame', 'knightEndgame', 'crushing', 'sacrifice']",1591.2081298828125,8/3n2p1/3kN3/5PP1/1p2K3/8/P7/8 b - - 0 55,True,False,False,,,
"['oneMove', 'middlegame', 'advantage', 'underPromotion']",1925.6204833984375,r3k2r/pp1n1p2/2p1p1qp/3PP1p1/2P5/1P2R3/P2Q2PP/5R1K w kq - 3 24,True,False,False,,,
"['veryLong', 'endgame', 'queenRookEndgame', 'advantage', 'equality']",1425.0858154296875,1k6/ppp2p2/p7/5Q2/q7/P1P2P2/KPr1p2r/1R6 w - - 0 33,True,False,True,,,
"['oneMove', 'middlegame', 'advantage', 'enPassant']",1303.630126953125,1r1q1r1k/p4pbp/1p1pp1b1/2p3P1/8/2PPB2P/PP1Q1PBK/R3R3 w - - 0 21,True,False,True,,,
"['long', 'opening', 'crushing', 'enPassant']",479.263671875,rn3k1r/p2p1p1p/1p2pb1P/2qbN2R/5P2/8/PPP1Q3/R1B1KB2 w Q - 3 17,True,False,False,,,
"['short', 'middlegame', 'advantage', 'skewer']",654.0007934570312,2r1kr2/pp2ppp1/6p1/8/1b6/5N2/PP3PPP/RN3K1R b - - 2 13,True,True,False,"['middlegame', 'advantage', 'skewer', 'short']",1036.243896484375,True
"['oneMove', 'endgame', 'bishopEndgame', 'crushing', 'attraction']",745.51904296875,4b3/5k2/4p2p/2p1PPp1/1pP1B1P1/1P3KP1/8/8 w - - 0 52,True,False,False,,,
"['veryLong', 'endgame', 'knightEndgame', 'advantage', 'sacrifice']",475.6149597167969,2n5/3kr3/2P3Np/2Pp1p2/3N2p1/4P1P1/5PP1/6K1 b - - 1 35,True,False,False,,,
"['veryLong', 'endgame', 'bishopEndgame', 'mate', 'mateIn1', 'hookMate']",1182.7337646484375,8/8/p3bp2/2p2p1p/PpPp1P1P/1P1P1kP1/2K5/4B3 w - - 0 45,True,False,True,,,
"['short', 'opening', 'crushing', 'fork']",2741.610107421875,r1b1r1k1/ppp2qpp/2n2q2/3p4/3Pn3/1BP2N2/1B3PPP/3QRRK1 w - - 1 18,True,False,True,,,
"['short', 'opening', 'advantage', 'underPromotion']",456.89886474609375,rnb1kbnr/pp2pppp/8/8/4P3/qB6/P2P1PPP/2RQK1NR w Kkq - 0 12,True,False,False,,,
"['oneMove', 'opening', 'crushing', 'enPassant']",1899.512939453125,r1b2r1k/ppp2p1p/3b2p1/8/2P1p2q/1N1P3P/PP2BPK1/R1BQ1R1R b - - 0 19,True,False,True,,,
"['veryLong', 'opening', 'crushing', 'skewer']",2141.32177734375,r3kbnr/pppb1ppp/8/q3n1N1/2Bp4/8/PPP2PPP/R1BQ1KNR w kq - 0 9,True,False,False,,,
"['veryLong', 'middlegame', 'crushing', 'xRayAttack']",2253.70849609375,k7/Pq6/5p1p/Q3p1p1/P7/1Rrr1bBP/5P2/1R4K1 b - - 1 45,True,False,True,,,
"['veryLong', 'opening', 'crushing', 'exposedKing']",423.22821044921875,4k1nr/1b1n1ppp/r3p3/2bpP3/1P3P2/2PQ1N2/3B2PP/RN2K2R b KQk - 0 14,True,False,False,,,
"['veryLong', 'middlegame', 'advantage', 'quietMove']",820.8118286132812,8/4r3/pkR1p1rp/4Ppp1/QP2q3/PR3N2/4bPPP/6K1 b - - 0 32,True,True,False,"['middlegame', 'advantage', 'short']",1710.9051513671875,False
"['long', 'endgame', 'knightEndgame', 'crushing', 'advancedPawn']",1930.6427001953125,8/8/8/1P6/3n1pPN/4k2P/8/1K6 b - - 1 59,True,False,True,,,
"['oneMove', 'middlegame', 'advantage', 'clearance']",1675.98193359375,5rk1/p4pp1/1pp4p/2b1Q3/5Bq1/2PB2Pb/PP2RP1P/6K1 b - - 0 35,True,True,False,"['middlegame', 'advantage', 'short']",1683.300048828125,False
"['short', 'opening', 'advantage', 'fork']",1651.6629638671875,r2q1rk1/ppp2pp1/2n1pnp1/3p4/7B/2N1P3/PPP1NPPK/R2Q1R2 b - - 0 12,True,False,False,,,
"['veryLong', 'opening', 'mate', 'mateIn1', 'arabianMate']",1663.407470703125,3rkbr1/1p2npp1/4pn1p/p2b3q/4N3/2PQ4/PPB2PPP/R1B1R1K1 w - - 6 22,True,False,False,,,
"['veryLong', 'opening', 'crushing', 'underPromotion']",1177.839111328125,rn2k2r/pppq1pp1/3p1n2/2b4p/4Pp2/3P4/PPP1BP2/RNBQNKR1 b kq - 1 12,True,False,False,,,
"['long', 'opening', 'crushing', 'enPassant']",2044.8402099609375,r1bqk2r/ppp2pp1/2p5/2b1N3/4P1p1/3P4/PPP2PP1/RNBQ1RK1 b kq - 0 9,True,False,True,,,
"['veryLong', 'middlegame', 'crushing', 'zugzwang']",3245.95654296875,3r2kB/pb3p1p/1p4p1/b4n2/2Bn1Q2/qPP1R3/P4PPP/2K1R3 w - - 4 25,True,False,False,,,
"['short', 'opening', 'advantage', 'castling']",750.2592163085938,rnb1kb1r/pp1pqQp1/2p4p/4N3/4P3/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 7,True,True,False,"['opening', 'advantage', 'short']",729.908935546875,False
"['veryLong', 'opening', 'advantage', 'enPassant']",442.10235595703125,r1b1kr2/b1p2ppp/ppP1nn2/8/BP3P2/P6q/3PNQ1P/RNB2RK1 w q - 5 17,True,False,False,,,
"['short', 'endgame', 'pawnEndgame', 'crushing', 'defensiveMove']",2524.89892578125,8/8/6k1/p2p1ppp/2pP3P/2K2P2/P5P1/8 w - - 0 42,True,False,False,,,
