fen,target_rating,target_themes,is_legal,is_puzzle,counter_intuitive
r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - - 0 25,1877,"['crushing', 'hangingPiece', 'long', 'middlegame']",True,True,False
5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - - 3 27,1501,"['advantage', 'endgame', 'short']",True,True,False
8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - - 2 64,1355,"['advantage', 'endgame', 'rookEndgame', 'short']",True,True,False
r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - - 0 17,1103,"['advantage', 'middlegame', 'short']",True,True,False
6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - - 3 37,1422,"['crushing', 'endgame', 'fork', 'short']",True,True,False
2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - - 0 33,1537,"['advantage', 'endgame', 'short']",True,True,False
r4r2/1p3pkp/p7/3R1p1Q/3P4/8/P1q2P2/3R2K1 w - - 0 26,2857,"['crushing', 'endgame', 'long']",True,True,False
8/8/4k1p1/2KpP2P/5P2/8/8/8 b - - 0 53,1611,"['crushing', 'endgame', 'long', 'pawnEndgame']",True,True,False
4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35,1353,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - - 1 15,1430,"['advantage', 'master', 'middlegame', 'short']",True,True,False
5rk1/p5p1/3bRr1p/1Pp4q/3p4/1P1Q1N2/P4PPP/4R1K1 b - - 0 22,2035,"['advantage', 'interference', 'kingsideAttack', 'middlegame', 'veryLong']",True,True,False
r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - - 0 20,1620,"['mate', 'mateIn2', 'middlegame', 'short']",True,True,False
6k1/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r w - - 2 34,2053,"['crushing', 'endgame', 'long']",True,True,False
3r3r/pQNk1ppp/1qnR1n2/1B6/8/8/PPP3PP/5R1K b - - 0 19,1391,"['advantage', 'hangingPiece', 'middlegame', 'short']",True,True,False
5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R3Q1/P3p1P1/2R3K1 b - - 1 41,1957,"['crushing', 'middlegame', 'short']",True,True,False
8/2p5/3k2p1/1p1P1p2/1P3P2/3K2Pp/7P/8 w - - 2 44,944,"['crushing', 'endgame', 'pawnEndgame', 'short', 'zugzwang']",True,True,False
8/7R/8/5p2/4bk1P/8/2r5/5KR1 b - - 8 51,1999,"['crushing', 'endgame', 'exposedKing', 'long', 'skewer']",True,True,False
3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - - 0 58,1110,"['crushing', 'endgame', 'fork', 'master', 'short']",True,True,False
2kr1b1r/p1p2pp1/2pqN3/7p/6n1/2NPB3/PPP2PPP/R2Q1RK1 b - - 0 13,739,"['kingsideAttack', 'mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
r4rk1/5ppp/1np2q2/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 w - - 2 18,1780,"['advantage', 'middlegame', 'short']",True,True,False
r2qk2r/pp2ppbp/1n1p2p1/3P4/2n5/2NBBP1P/PP3P2/R2QK2R w KQkq - 0 13,1677,"['advantage', 'fork', 'long', 'middlegame']",True,True,False
5R2/1p6/p1p1k3/2P1r3/2K3p1/2P1p1P1/1P5P/8 w - - 2 45,1904,"['crushing', 'endgame', 'exposedKing', 'rookEndgame', 'veryLong']",True,True,True
2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 w - - 0 21,2566,"['advantage', 'endgame', 'pin', 'short']",True,True,False
5r1k/pQR3pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 b - - 4 30,1516,"['advantage', 'middlegame', 'veryLong']",True,True,False
6k1/pp1r1pp1/2p1p2p/4P2P/3q1Q2/1P4R1/P1Pr1PP1/R5K1 w - - 5 24,2389,"['advantage', 'endgame', 'long', 'pin']",True,True,False
6k1/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K w - - 0 29,565,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
6k1/4p1bp/6p1/1p1pP3/qPpPp3/2P1P3/Q2B1KPP/8 w - - 3 24,2078,"['crushing', 'endgame', 'long', 'quietMove']",True,True,False
6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,1118,"['backRankMate', 'endgame', 'mate', 'mateIn2', 'short']",True,True,False
2r2rk1/pbq1bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 w - - 4 24,1667,"['crushing', 'discoveredAttack', 'long', 'master', 'middlegame', 'sacrifice']",True,True,False
6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb2r3/5K2 w - - 0 34,2027,"['crushing', 'endgame', 'hangingPiece', 'long', 'quietMove']",True,True,False
8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 39,1606,"['bishopEndgame', 'endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 0 18,820,"['bodenMate', 'hangingPiece', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
