target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match,main_line,best_move_matches
"['long', 'middlegame', 'crushing', 'discoveredAttack']",3226.177978515625,1rr5/3q2p1/p5k1/3p1p2/1R1Pp3/5bN1/PK1Q4/6R1 w - - 1 36,d2f4,True,True,False,"['middlegame', 'advantage', 'discoveredAttack', 'short']",1443.9881591796875,True,g3f5 g6f7 g1g7,False
"['veryLong', 'middlegame', 'advantage', 'enPassant']",2275.71435546875,r5k1/p1p1b1p1/3qpr2/2N5/PPQ3p1/2PPB1Pn/1P3PK1/R3R3 b - - 4 23,f6h6,True,False,True,,,,,
"['long', 'opening', 'crushing', 'castling']",851.405517578125,rn2k2r/p2b1ppp/3p1n2/1pp2P2/6P1/6QP/PPqNP3/R1B1KB1R w KQkq - 0 13,g3d6,True,False,False,,,,,
"['short', 'endgame', 'queenEndgame', 'advantage', 'discoveredAttack']",2517.270751953125,1q6/6pk/3P3p/4Qp2/4p3/1p2P2P/5PPK/8 w - - 4 42,e5e6,True,False,False,,,,,
"['oneMove', 'middlegame', 'advantage', 'underPromotion']",1895.446533203125,r3r1k1/5pp1/p4Pqp/1p1bnQ2/2pN4/8/PPB3PP/3R1RK1 w - - 0 28,f5g6,True,False,False,,,,,
"['oneMove', 'middlegame', 'advantage', 'queensideAttack']",1843.2745361328125,2kr3r/1p1n1p2/2pp1q2/pP2p3/P1B3Q1/2bP2Bp/2P2P2/1R3RK1 w - - 0 21,b5c6,True,False,False,,,,,
"['veryLong', 'opening', 'crushing', 'defensiveMove']",1303.441650390625,2kr1bnr/p3p1pp/2p5/2p1Bq2/3p2b1/3P1N1P/PPP2PP1/R1NQK2R b KQ - 0 11,g4f3,True,True,False,"['opening', 'advantage', 'capturingDefender', 'short']",1440.574951171875,False,g4f3 g2f3 f5e5,True
"['short', 'endgame', 'queenRookEndgame', 'mate', 'mateIn5', 'backRankMate']",2835.026611328125,6k1/5p1p/4pP2/3pP2P/3P4/3Q3K/1p6/1r3r2 w - - 0 40,d3g3,True,False,False,,,,,
"['veryLong', 'opening', 'crushing', 'skewer']",1846.6114501953125,r1bqk1nr/ppp2pp1/2n5/3Qp3/7p/P1P3B1/2P1PPPP/3RKBNR w Kkq - 0 11,g3e5,True,False,False,,,,,
"['oneMove', 'middlegame', 'crushing', 'equality']",1324.4627685546875,2r1k1Q1/4qb1r/p3pbNp/6pB/P1pP1P2/1pP5/1P1K1BPP/R6R b - - 2 29,f7g8,True,False,False,,,,,
"['oneMove', 'endgame', 'queenEndgame', 'mate', 'mateIn3', 'smotheredMate']",1691.7628173828125,8/7Q/p1p4p/1p1p2pk/8/1Pq3PP/P5P1/6K1 w - - 9 35,h7f5,True,False,False,,,,,
"['veryLong', 'endgame', 'knightEndgame', 'advantage', 'equality']",906.2262573242188,8/5p1n/6k1/3P2P1/4N3/6PK/5P2/8 b - - 2 47,h7g5,True,False,False,,,,,
"['oneMove', 'endgame', 'queenEndgame', 'crushing', 'doubleCheck']",2782.362548828125,8/6pk/pR1Q4/P7/1P2p1P1/2P1qpKP/5r2/8 b - - 3 40,f2g2,True,True,False,"['endgame', 'advantage', 'long']",2362.412109375,False,f2g2 g3h4 e3h6 d6h6 g7h6,True
"['oneMove', 'opening', 'crushing', 'promotion']",1861.60693359375,rnbq1rk1/ppp2ppp/3bpn2/3P4/2P2P2/5N1P/PP1P2P1/RNBQKB1R b KQ - 2 7,f6e4,True,False,False,,,,,
"['short', 'opening', 'advantage', 'pin']",3249.21240234375,rkb1Qbr1/ppp1n2p/2q3pB/4n3/3pN3/3P4/PPP2PPP/RN3RK1 w - - 10 16,e4f6,True,False,False,,,,,
"['oneMove', 'opening', 'advantage', 'deflection']",881.1221923828125,r1b1kb1r/pppp1ppp/8/3Pp1q1/8/P1P5/2Q1PPPP/RN2KBNR b KQkq - 1 9,g5c1,True,False,False,,,,,
"['veryLong', 'middlegame', 'crushing', 'enPassant']",494.93865966796875,4b1k1/ppn3r1/2p1p3/2PpP3/3P2q1/2N3K1/PP1K2R1/6R1 w - - 0 32,g2g4,False,False,,,,,,
