target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match,main_line,best_move_matches
"['short', 'middlegame', 'advantage', 'attraction']",798.2625122070312,r3kb1r/pp1n1ppp/4p3/1B1p4/3P2b1/4PN2/PP3PPP/R1B1K2R w KQkq - 0 11,b5d7,True,False,False,,,,,
"['veryLong', 'opening', 'advantage', 'quietMove']",1897.6766357421875,r2q1rk1/pp1nbppp/2p1Bn2/8/3P4/2P2N2/PP3PPP/R1BQR1K1 b - - 0 11,f7e6,True,False,False,,,,,
"['long', 'endgame', 'queenEndgame', 'crushing', 'deflection']",1449.333740234375,8/8/1Q6/1p6/k7/2K5/8/1q6 w - - 0 62,b6a6,True,True,False,"['endgame', 'mateIn1', 'mate', 'queenEndgame', 'oneMove']",923.3869018554688,False,b6a6,True
"['veryLong', 'endgame', 'pawnEndgame', 'crushing', 'promotion']",1343.211181640625,8/8/3K4/8/p2k4/P7/8/8 b - - 4 56,d4c4,True,False,False,,,,,
"['short', 'endgame', 'pawnEndgame', 'crushing', 'trappedPiece']",2798.98291015625,8/8/5k1p/4pp2/6PP/4KP2/8/8 b - - 0 41,f6g6,True,False,False,,,,,
"['short', 'opening', 'mate', 'mateIn4', 'bodenMate']",1637.61962890625,r3kb1r/pb3ppp/3p4/3n2B1/3N2n1/8/PPP2PPP/R3KB1R w KQkq - 0 12,f1b5,True,True,False,"['opening', 'mateIn2', 'mate', 'bodenMate', 'short']",1069.2794189453125,False,f1b5 b7c6 b5c6,True
"['veryLong', 'endgame', 'rookEndgame', 'crushing', 'sacrifice']",1058.5732421875,3r4/8/2K5/1P6/8/7k/R6p/8 w - - 0 40,a2h2,True,False,False,,,,,
"['long', 'endgame', 'rookEndgame', 'crushing', 'doubleCheck']",375.21575927734375,4k3/5ppp/4p3/3rR3/8/r2KR3/5PPP/8 w - - 0 30,e5d5,True,False,False,,,,,
"['short', 'endgame', 'bishopEndgame', 'mate', 'mateIn4', 'backRankMate']",2974.900146484375,7K/6P1/4k3/4B3/5P2/1b6/p7/8 b - - 0 49,e6f5,True,False,False,,,,,
"['oneMove', 'opening', 'mate', 'mateIn5', 'anastasiaMate']",1079.3310546875,r1bq1rk1/pp3ppp/8/3n4/2B1N3/2PP4/PP2nPPK/RNBQ1R2 b - - 0 13,d8h4,True,False,False,,,,,
