target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('advantage', 'short', 'opening')",1719.990234375,rnbq1rk1/1p2bpp1/p2pp2p/8/3Nn2B/1BN4P/PPP2PP1/R2Q1RK1 w - - 0 11,h4e7,True,True,False,"['opening', 'advantage', 'short']",True,h4e7 e4c3 e7d8
"('crushing', 'long', 'middlegame', 'discoveredAttack', 'attraction')",1064.98095703125,rn6/pbp2kpp/1p3p2/3rpB2/8/2P2P2/PBP3PP/R4RK1 w - - 4 18,c3d4,True,False,False,,,
"('endgame', 'mate', 'master', 'mateIn1', 'oneMove')",560.0093994140625,4rk2/1P5p/3R2p1/8/8/3B1nP1/5PR1/5K2 b - - 0 37,e8e1,True,False,False,,,
"('crushing', 'long', 'middlegame', 'kingsideAttack', 'discoveredAttack')",650.068603515625,r3q1k1/pp1nrp2/2p2Pp1/4n1Q1/8/2N2PP1/PP3P1B/R3R1K1 b - - 0 23,e5f3,True,False,False,,,
"('crushing', 'endgame', 'short', 'fork')",1090.947265625,5k2/pp4p1/2p4p/2PpNr1q/1P6/P3P3/2Q3P1/6K1 w - - 0 50,c2f5,True,False,False,,,
"('middlegame', 'mate', 'kingsideAttack', 'mateIn1', 'oneMove')",1026.94580078125,r2q1rk1/2p2ppp/p2b4/6N1/Pp6/1b6/1PQ2PPP/R3R1K1 w - - 0 18,c2h7,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",True,c2h7
"('crushing', 'long', 'endgame', 'pin', 'attraction', 'clearance')",1111.06201171875,2r2k2/1RP2pp1/3p4/Bp2p1bp/2r1P3/5P2/6PP/R5K1 w - - 7 36,b7b8,True,False,False,,,
"('long', 'middlegame', 'advantage', 'fork', 'exposedKing', 'attraction', 'capturingDefender')",1896.2685546875,8/3n1pk1/1p2p1p1/3pPnP1/bq1P1P2/N1rB4/2NR2K1/3Q4 b - - 2 29,c3d3,True,False,False,,,
"('middlegame', 'advantage', 'short', 'pin')",1804.1064453125,r3k2r/1p1n1pb1/p1pp1qpp/6p1/3PPP2/2P1Q3/PP1N2R1/2KR1B2 w kq - 3 18,e4e5,True,False,False,,,
"('advantage', 'endgame', 'short')",2160.3203125,4k1rr/5p2/2q1pQ2/1p1p4/1P1R2P1/P7/5PK1/7R b k - 6 34,g8g6,True,False,False,,,
"('crushing', 'endgame', 'pawnEndgame', 'veryLong', 'quietMove', 'advancedPawn', 'promotion')",620.99365234375,8/2p5/p7/6K1/1k4P1/8/8/8 w - - 0 63,g5f4,True,False,False,,,
