target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('long', 'middlegame', 'advantage', 'fork')",1191.88671875,r4rk1/ppp2ppp/2n5/8/3nN1b1/5N2/PP2BPPP/R3R1K1 w - - 0 15,f3d4,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2', 'advancedPawn', 'promotion')",706.9384765625,3r2k1/3P1ppp/1n6/8/8/8/5PPP/4R1K1 w - - 0 27,e1e8,True,True,False,"['endgame', 'mateIn2', 'mate', 'advancedPawn', 'promotion', 'short']",True,e1e8 d8e8 d7e8q
"('crushing', 'endgame', 'veryLong', 'quietMove', 'bishopEndgame')",2774.734375,8/4kP2/6K1/4P3/5P2/2b5/8/8 w - - 3 55,f4f5,True,False,False,,,
"('crushing', 'endgame', 'short')",2246.630859375,1KQ2b2/8/8/8/k7/8/8/7q w - - 0 63,c8c4,True,False,True,,,
"('middlegame', 'mate', 'mateIn1', 'oneMove')",1295.751953125,r5k1/ppq1br2/3p2p1/8/3BN3/8/PPP5/1K1R3R w - - 0 25,h1h8,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",True,h1h8
"('crushing', 'endgame', 'short')",1768.265625,8/8/8/8/R3nkp1/8/5p2/5K2 b - - 1 65,f4f3,True,False,False,,,
"('middlegame', 'advantage', 'short', 'skewer', 'capturingDefender')",1327.2041015625,q4rk1/p3bppp/B3p3/3n4/8/r4N2/4QPPP/3R1RK1 w - - 0 22,d1d5,True,False,True,,,
"('middlegame', 'short', 'mate', 'mateIn2')",1264.2998046875,r4r2/pp3pkp/4n3/3N1Q2/2q5/8/PPP3PP/5R1K w - - 0 21,f5f6,True,True,False,"['middlegame', 'mateIn2', 'mate', 'short']",True,f5f6 g7g8 d5e7
"('endgame', 'short', 'mate', 'mateIn2')",531.02587890625,8/8/8/8/8/2r3k1/1R3NP1/6K1 b - - 0 48,c3c1,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",True,c3c1 f2d1 c1d1
"('crushing', 'endgame', 'short', 'defensiveMove')",2183.7265625,8/7k/8/5P1p/4rK2/8/5P2/8 w - - 0 49,f4e4,True,False,False,,,
"('long', 'endgame', 'mate', 'sacrifice', 'mateIn3')",1641.7255859375,5rk1/1Q3ppp/8/8/8/8/2q3rP/3R1R1K w - - 0 27,b7f7,True,False,True,,,
