target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('crushing', 'endgame', 'pawnEndgame', 'master', 'veryLong', 'deflection', 'masterVsMaster')",2385.60546875,8/6p1/1p1k4/p1pPpp1p/PPK4P/2P2PP1/8/8 b - - 0 47,a5b4,True,False,False,,,
"('long', 'middlegame', 'mate', 'mateIn3', 'cornerMate')",1170.6748046875,2r2b1r/p5pp/N2kpp2/1Q1p4/8/4P3/PP1B1PqP/n3KR2 w - - 2 24,d2b4,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2', 'kingsideAttack')",618.06787109375,2r3k1/6pp/4p1q1/1p1ppbN1/3n1p1P/P2r4/1P3PPB/2R1R1K1 w - - 0 28,c1c8,True,True,False,"['middlegame', 'mateIn2', 'mate', 'hangingPiece', 'kingsideAttack', 'short']",True,c1c8 g6e8 c8e8
"('crushing', 'endgame', 'short')",1352.0732421875,1r4k1/p2R1p2/6pQ/3P4/4r3/3q4/P4PPP/5RK1 b - - 0 25,b8b1,True,True,False,"['endgame', 'mateIn3', 'mate', 'attraction', 'sacrifice', 'long']",True,d3f1 g1f1 b8b1 h6c1 b1c1
"('crushing', 'endgame', 'short', 'fork', 'master')",969.89306640625,8/8/4k3/5p2/3Kp3/p3P1P1/5P2/R1n5 b - - 1 45,c1b3,True,True,False,"['endgame', 'advantage', 'fork', 'short']",True,c1b3 d4c4 b3a1
"('middlegame', 'mate', 'veryLong', 'quietMove', 'sacrifice', 'mateIn4')",2795.21484375,7k/5ppp/np1Q1n2/8/7K/1Nq2P2/P1PB2rP/R6R b - - 1 28,g2g4,True,True,False,"['middlegame', 'crushing', 'defensiveMove', 'long']",False,c3f3 d6d8 f6g8 d8d4 h7h5
"('middlegame', 'mate', 'mateIn1', 'oneMove')",1253.328125,rn2k2r/pp2Bppp/1qp5/4P3/4n1b1/3B1N2/PPP3PP/R2QK2R b KQkq - 0 10,b6f2,True,True,False,"['opening', 'mateIn1', 'mate', 'oneMove']",False,b6f2
"('crushing', 'middlegame', 'short', 'discoveredAttack')",1401.080078125,rn2kbnr/pp3ppp/2p1pq2/1N6/2B1P3/1Q3P1P/PP3P2/R1B1K2R w KQkq - 0 10,b5c7,True,False,False,,,
"('crushing', 'endgame', 'rookEndgame', 'veryLong', 'deflection')",1355.73046875,8/8/3k2p1/1p3p1p/1P3P1P/2K1R1P1/8/r7 b - - 3 54,a1a3,True,False,False,,,
"('hangingPiece', 'middlegame', 'mate', 'kingsideAttack', 'mateIn1', 'oneMove')",826.8955078125,2r2rk1/1p3ppp/p1Pp4/2b1p3/4P3/2P2Q2/PBB2q1P/1RR4K b - - 0 22,f2f3,True,True,False,"['middlegame', 'mateIn1', 'mate', 'hangingPiece', 'kingsideAttack', 'oneMove']",True,f2f3
"('crushing', 'hangingPiece', 'long', 'middlegame', 'kingsideAttack')",1403.2744140625,r2q1rk1/1p4pp/p2bb3/2p2p2/PpP1Q3/1P3N1P/R2P1PP1/5RK1 w - - 0 18,e4e6,True,False,False,,,
"('crushing', 'long', 'endgame', 'rookEndgame', 'deflection')",2031.5859375,8/8/7p/5pp1/1p6/1Pkr2PP/4KP2/1R6 w - - 4 43,b1c1,True,False,False,,,
"('hangingPiece', 'endgame', 'short', 'mate', 'mateIn2', 'backRankMate')",1006.099609375,5r2/6Qp/1p4p1/1kq1p3/4P3/8/1P3RPP/2R4K b - - 0 38,c5c1,True,True,False,"['endgame', 'mateIn2', 'mate', 'backRankMate', 'hangingPiece', 'short']",True,c5c1 f2f1 f8f1
"('crushing', 'endgame', 'short', 'queenEndgame')",2230.5390625,8/6pp/1p2p1k1/pPq1Q3/P4P2/3p1PK1/7P/8 w - - 18 56,e5c5,True,False,False,,,
