target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('crushing', 'endgame', 'short', 'discoveredAttack')",1709.75,6k1/5R1p/6p1/8/8/1B6/6PP/q6K w - - 0 33,f7f1,True,True,False,"['endgame', 'crushing', 'discoveredAttack', 'short']",True,f7f1 g8g7 f1a1
"('crushing', 'long', 'middlegame')",1496.16796875,r4rk1/p3qppp/4p3/8/4Q3/b3P3/1B3PPP/2R2RK1 w - - 0 21,e4e5,True,False,False,,,
"('crushing', 'long', 'middlegame', 'fork')",1722.916015625,r1b2rk1/pp3ppp/8/4q3/Q4P2/3B4/PP4PP/R4RK1 b - - 0 17,e5e3,True,True,False,"['middlegame', 'advantage', 'fork', 'short']",True,e5e3 f1f2 e3d3
"('endgame', 'mate', 'master', 'mateIn1', 'oneMove')",838.96435546875,8/8/8/8/8/6KR/5N2/5qk1 w - - 0 53,h3h1,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2', 'backRankMate')",456.00701904296875,3r2k1/p3Rppp/8/8/8/1N6/P4PPP/6K1 b - - 0 25,d8d1,True,True,False,"['endgame', 'mateIn2', 'mate', 'backRankMate', 'short']",True,d8d1 e7e1 d1e1
"('middlegame', 'mate', 'master', 'mateIn1', 'oneMove')",1090.947265625,4r1k1/pp6/1q4p1/4bN2/8/3Q4/PP6/1K1R3R b - - 0 28,b6b2,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",True,b6b2
"('crushing', 'endgame', 'short', 'fork', 'master')",972.08740234375,8/8/8/8/1k3N2/6PK/8/2q5 w - - 0 49,f4d3,True,True,False,"['endgame', 'advantage', 'fork', 'short']",True,f4d3 b4c4 d3c1
"('endgame', 'mate', 'master', 'mateIn1', 'oneMove', 'queenEndgame')",969.89306640625,8/8/6p1/6kp/2Q5/6P1/7K/3q4 w - - 2 56,c4f4,True,True,False,"['endgame', 'mateIn1', 'mate', 'queenEndgame', 'oneMove']",True,c4f4
"('middlegame', 'advantage', 'veryLong', 'sacrifice', 'defensiveMove', 'clearance')",2411.9375,2r3k1/5p2/4p1P1/1q1pP1Q1/3P4/2r2N2/2n2P2/R4K2 w - - 1 33,f1g2,True,False,False,,,
"('middlegame', 'advantage', 'short')",1475.6875,2r2rk1/pp3ppp/1q1bpn2/3pn3/3P4/2P1B3/PPQN1PPP/R4RK1 w - - 0 14,d4e5,True,False,False,,,
"('long', 'middlegame', 'advantage')",1771.19140625,2r2rk1/1p1R1ppp/p4q2/6Q1/8/1B6/PP3PPP/3R2K1 b - - 0 24,f6g5,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2')",1923.33203125,Q7/8/8/8/6k1/5n2/1r6/7K b - - 0 48,b2b1,True,True,False,"['endgame', 'mateIn1', 'mate', 'arabianMate', 'oneMove']",False,b2h2
"('crushing', 'middlegame', 'short')",1943.8125,r4rk1/pp3ppp/5b2/8/2q1B3/5Q2/P4PPP/3R1RK1 w - - 0 20,f3f5,True,False,False,,,
"('advantage', 'endgame', 'short', 'bishopEndgame')",1742.6650390625,8/8/2p3p1/4K3/k5PP/5b2/8/8 w - - 0 45,h4h5,True,False,True,,,
"('long', 'middlegame', 'mate', 'exposedKing', 'mateIn3')",1834.095703125,r1b4k/ppp5/3p3p/7n/2B4q/8/PP4PP/4RR1K w - - 0 25,e1e8,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2', 'sacrifice', 'attraction')",1122.03369140625,3rr1k1/5ppp/1RQ5/8/2q5/6B1/5PPP/5RK1 b - - 0 25,c4f1,True,True,False,"['middlegame', 'mateIn2', 'mate', 'attraction', 'sacrifice', 'short']",True,c4f1 g1f1 d8d1
"('crushing', 'endgame', 'veryLong', 'advancedPawn')",2550.912109375,8/6k1/2N5/3P4/2K5/8/r7/8 w - - 1 49,d5d6,True,False,False,,,
"('crushing', 'endgame', 'short', 'rookEndgame', 'defensiveMove')",1014.876953125,8/1R3k2/7K/6p1/6P1/5r2/8/8 b - - 1 54,f7f6,True,False,True,,,
