target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('crushing', 'middlegame', 'short', 'kingsideAttack')",1692.9267578125,3r1rk1/pb3ppp/1p2pq2/2n1P3/2PN2n1/2N1Q3/PPB3PP/3R1RK1 b - - 0 17,f6f1,True,False,False,,,
"('endgame', 'short', 'mate', 'mateIn2')",539.986083984375,1kr5/rb2R2p/1Q1p4/8/2P5/6P1/1P3P1P/6K1 b - - 10 32,a7a1,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",True,a7a1 e7e1 a1e1
"('advantage', 'endgame', 'veryLong', 'advancedPawn', 'promotion')",2035.974609375,8/5p1k/r4BpP/1p1pP3/3Pb3/8/p4K2/2R4R b - - 3 39,a6f6,True,False,False,,,
"('crushing', 'endgame', 'pawnEndgame', 'veryLong', 'zugzwang', 'defensiveMove')",2571.392578125,8/8/pK6/P1pppp2/1k6/4P3/2P2P2/8 w - - 0 49,f2f4,True,True,False,"['endgame', 'advantage', 'defensiveMove', 'pawnEndgame', 'short']",False,b6a6 c5c4 a6b6
"('endgame', 'short', 'rookEndgame', 'mate', 'mateIn2', 'backRankMate')",444.0067443847656,r5k1/1P3p1p/6p1/8/3P4/2P1P3/2R2PPP/6K1 b - - 0 29,a8a1,True,True,False,"['endgame', 'mateIn2', 'mate', 'backRankMate', 'rookEndgame', 'short']",True,a8a1 c2c1 a1c1
"('endgame', 'mate', 'mateIn1', 'oneMove')",663.0517578125,3r3k/6p1/p3p1Q1/6p1/2P1Bb2/5R1P/Pq4P1/6K1 w - - 8 38,g6h7,True,False,False,,,
"('mate', 'master', 'mateIn1', 'oneMove', 'opening')",1000.9794921875,r1b1k2r/ppq2pbp/5np1/2p1p3/2Nn4/P1NP1PP1/QP1BP2P/R3KB1R b KQkq - 0 14,d4c2,True,False,False,,,
"('crushing', 'endgame', 'veryLong', 'advancedPawn', 'promotion')",886.142578125,8/8/p2p2K1/1p3Pr1/2P4p/1P5k/P7/8 w - - 0 47,g6g5,True,True,False,"['endgame', 'crushing', 'hangingPiece', 'long']",False,g6g5 b5c4 b3c4 h3g3 f5f6
"('endgame', 'rookEndgame', 'mate', 'master', 'mateIn1', 'oneMove', 'backRankMate')",536.9688720703125,2r3k1/pR3p1p/3Pp1p1/8/P7/8/5PPP/6K1 b - - 0 28,c8c1,True,True,False,"['endgame', 'mateIn1', 'mate', 'backRankMate', 'rookEndgame', 'oneMove']",True,c8c1
"('long', 'middlegame', 'advantage', 'fork')",2006.716796875,1q5k/1pR4p/p3ppr1/6n1/PP1P2PQ/1B1bP2P/5P2/2R3K1 b - - 0 29,g5f3,True,False,False,,,
"('advantage', 'endgame', 'short', 'fork', 'master')",1013.04833984375,8/5pkp/1R4p1/P7/1P1nB3/7P/1r1r1PP1/2R3K1 b - - 0 27,d4e2,True,False,False,,,
