target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,themes_match,main_line
"('endgame', 'short', 'rookEndgame', 'mate', 'mateIn2')",436.0065612792969,8/8/8/8/8/1r2k3/2R5/4K3 b - - 0 60,b3b1,True,True,False,"['endgame', 'mateIn2', 'mate', 'rookEndgame', 'short']",True,b3b1 c2c1 b1c1
"('crushing', 'long', 'endgame', 'bishopEndgame')",2507.025390625,8/6KB/8/p7/1p6/1k6/8/8 b - - 0 50,b3c3,True,False,False,,,
"('crushing', 'endgame', 'veryLong', 'quietMove', 'advancedPawn')",2319.775390625,8/8/3K2p1/5Q2/7P/5k2/8/8 b - - 0 58,g6f5,True,False,False,,,
"('middlegame', 'mate', 'mateIn1', 'oneMove')",1281.8544921875,4r1k1/pp1r3p/5QpB/8/8/8/PP2q1P1/R4R1K b - - 0 29,e2h5,True,False,False,,,
"('endgame', 'mate', 'mateIn1', 'oneMove', 'backRankMate')",616.056396484375,2r3k1/5ppp/4p3/8/4n3/8/5PPP/2R3K1 w - - 0 29,c1c8,True,True,False,"['endgame', 'mateIn1', 'mate', 'backRankMate', 'hangingPiece', 'oneMove']",True,c1c8
"('crushing', 'endgame', 'short', 'fork', 'pin')",1082.169921875,8/8/4nn2/8/7k/8/4K3/2R5 w - - 0 55,c1c6,True,False,False,,,
"('crushing', 'middlegame', 'short')",1137.0283203125,r4rk1/pp3q1p/5n2/1Q6/8/8/PP3PPP/R3R1K1 w - - 0 19,b5g5,True,False,False,,,
"('endgame',)",885.04541015625,8/8/8/k7/8/4KP2/3p4/8 w - - 0 59,e3d2,True,False,False,,,
"('advantage', 'short', 'opening')",1354.267578125,r1b1k2r/pp1n1ppp/5n2/q2N4/3Q4/5N2/PP1BPPPP/R3KB1R b KQkq - 2 10,a5d5,True,False,False,,,
"('crushing', 'endgame', 'short', 'zugzwang')",1548.1005859375,8/5p2/5kp1/5B1p/5P1P/5K2/5P2/8 b - - 0 40,f6f5,True,False,False,,,
"('advantage', 'endgame', 'short', 'advancedPawn', 'attraction', 'promotion')",1322.083984375,R7/P1r3pk/2n4p/8/8/7P/6PK/8 w - - 1 39,a8h8,True,False,False,,,
"('middlegame', 'advantage', 'kingsideAttack', 'veryLong', 'pin')",2523.1171875,r2q1rk1/ppp1nppp/3p4/8/6R1/8/PPPQ1PPP/4R1K1 w - - 0 18,d2h6,True,False,False,,,
"('long', 'middlegame', 'advantage')",1433.263671875,r4rk1/2RR1ppp/8/1q6/8/1Q4BP/5PP1/6K1 b - - 0 25,a8a1,True,False,False,,,
"('crushing', 'long', 'endgame', 'advancedPawn', 'promotion')",1059.86083984375,8/8/6P1/1p3K2/8/8/4N3/1kq5 w - - 0 49,e2c1,True,False,False,,,
"('crushing', 'long', 'middlegame', 'discoveredAttack', 'sacrifice')",2116.43359375,r4r1k/p5pp/8/q1bQ4/8/8/3N1PPP/3RR1K1 b - - 0 25,f8f2,True,False,False,,,
"('middlegame', 'short', 'mate', 'mateIn2', 'kingsideAttack')",1510.796875,r4r1k/ppp4p/4Q1p1/8/3P3q/2N5/PPP3PP/R1B3K1 b - - 0 19,h4f2,True,False,False,,,
"('crushing', 'short', 'master', 'kingsideAttack', 'opening')",800.92919921875,r1bqr1k1/ppp2ppp/2n5/1B6/1b1P4/2n2N2/PPP1QPPP/R1B1R1K1 w - - 0 12,e2e8,True,False,False,,,
"('long', 'middlegame', 'mate', 'backRankMate', 'mateIn3')",1189.6923828125,r4rk1/pp2R1pp/3p4/5q2/8/8/PP3PPP/R1BQ2K1 b - - 0 18,f5f2,True,True,False,"['middlegame', 'mateIn3', 'mate', 'backRankMate', 'long']",True,f5f2 g1h1 f2f1 d1f1 f8f1
"('crushing', 'endgame', 'short')",1078.87841796875,8/5p2/8/6r1/2k2KP1/8/8/8 w - - 0 60,f4g5,True,False,False,,,
"('crushing', 'endgame', 'short', 'discoveredAttack')",1684.1494140625,8/8/8/6K1/8/4k3/8/2b3N1 b - - 0 58,e3f2,True,False,False,,,
