target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['long', 'middlegame', 'crushing', 'exposedKing']",1761.208984375,r4r2/p4p1k/bp2p3/2b1Pn2/3qPRQ1/8/PP4PP/R1B3K1 w - - 3 24,True,False,False,,,
"['oneMove', 'middlegame', 'crushing', 'pin']",1216.48388671875,r3kr2/pp3pp1/2p2n1p/2bpq3/3N4/1Q3P2/PPP1N1PP/2KR3R w q - 0 19,True,False,False,,,
"['oneMove', 'middlegame', 'advantage', 'zugzwang']",1045.377197265625,rnb1kb1r/p5pp/1ppp4/3Pp1Bq/PPB1n3/6RP/2PQ1PP1/3NK2R w Kkq - 1 19,True,False,False,,,
"['veryLong', 'endgame', 'bishopEndgame', 'crushing', 'equality']",2156.0693359375,3b4/p1P5/6p1/BPk2p1p/P4P1P/6P1/8/6K1 b - - 0 43,True,False,False,,,
"['oneMove', 'middlegame', 'crushing', 'defensiveMove']",532.7045288085938,r3kb1Q/pp3p1p/2p2p2/q3p3/5Pb1/1P2P1P1/P3K1pP/R1B4R w q - 0 15,True,False,False,,,
"['long', 'opening', 'crushing', 'skewer']",3259.93798828125,r1b2rk1/pppp1pp1/7n/2b1N1QP/2B1P3/2PP4/PP3P1q/RNB1K1N1 b Q - 1 17,True,False,False,,,
"['oneMove', 'middlegame', 'mate', 'mateIn2', 'anastasiaMate']",1237.642578125,r1b2rk1/1p1p1pp1/p2P4/4nN2/8/2P1P3/PPB5/2K3R1 w - - 0 29,True,False,True,,,
"['veryLong', 'middlegame', 'crushing', 'advancedPawn']",2401.78857421875,2r3k1/pb3ppp/1p2P3/4N1q1/3r4/4P3/P4PPP/Q1nR2K1 w - - 0 20,True,False,False,,,
"['short', 'endgame', 'rookEndgame', 'mate', 'mateIn2', 'doubleBishopMate']",2969.5439453125,8/8/2p3RP/kp1r4/p1ppK3/P2P2P1/1PP3P1/8 b - - 1 35,True,False,False,,,
"['short', 'endgame', 'knightEndgame', 'crushing', 'defensiveMove']",1945.2298583984375,8/8/8/5NKP/kp1npP2/8/8/8 b - - 1 48,True,False,False,,,
"['long', 'middlegame', 'advantage', 'deflection']",1727.869873046875,r1b1kb1r/3p1ppp/nQq1pn2/1N6/4P3/4B3/PPP2PPP/2KR1B1R w kq - 3 14,True,False,False,,,
"['veryLong', 'middlegame', 'crushing', 'fork']",3246.08837890625,r4r2/3q1ppk/4b3/bp1N4/3B4/1Q4p1/B6P/2R3K1 w - - 1 29,True,False,False,,,
"['short', 'opening', 'crushing', 'xRayAttack']",2086.55078125,r3k1nr/pQp3bp/2b3pq/8/3P4/4P3/PPP2PPP/RNB1K2R w KQkq - 1 14,True,False,False,,,
"['veryLong', 'opening', 'advantage', 'quietMove']",3046.353271484375,1rbq1rk1/p2n3p/6p1/Q1p1Pp2/1n6/3Pp3/1P1PB1PP/RNB2RK1 b - - 0 17,True,False,False,,,
"['veryLong', 'opening', 'advantage', 'skewer']",2513.678466796875,rnbqkb1r/1p1ppppp/p4n2/3NN3/1P2P3/P7/2PB1PPP/R2QK2R w KQkq - 2 15,True,False,False,,,
"['long', 'endgame', 'rookEndgame', 'advantage', 'promotion']",819.02392578125,8/8/r2k1P1p/Pp1pR3/1P2pp2/2Pr4/2K5/8 w - - 3 46,True,False,False,,,
"['oneMove', 'endgame', 'rookEndgame', 'crushing', 'kingsideAttack']",2021.7203369140625,3r1rk1/1R3Rp1/2p1Pp2/p5p1/1p5P/5P2/6PK/8 w - - 0 34,True,False,True,,,
