target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'endgame', 'pawnEndgame', 'short', 'zugzwang']",1455.0,8/5p2/4p1p1/p1pkP2p/P2p1P1P/1PPK2P1/8/8 w - - 1 39,True,False,False,,,
"['advantage', 'discoveredAttack', 'long', 'middlegame', 'queensideAttack']",2216.0,2kr2nr/p1p4p/2p1b3/1qQpPp2/6p1/2P1B3/PP4PP/2R1R1K1 w - - 2 20,True,False,False,,,
"['crushing', 'endgame', 'pawnEndgame', 'short']",1093.0,8/8/3P4/2k1p1p1/p1p1PpP1/P1K5/1P5P/8 b - - 0 41,True,False,False,,,
"['crushing', 'master', 'masterVsMaster', 'middlegame', 'short']",2345.0,3R4/5r2/3nNk2/8/2nPP3/5P2/r5P1/2K4R w - - 1 32,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",1704.0,4b3/2n4p/4pKp1/5pN1/1k3P1P/2p2PP1/P7/3B4 b - - 1 36,True,False,False,,,
"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'long', 'promotion']",1433.0,8/7p/p4Bk1/8/2R5/2P3p1/P7/4K3 b - - 1 41,True,False,False,,,
"['crushing', 'long', 'master', 'middlegame']",2775.0,r3r1k1/p2bqpp1/4p2p/1p1nN3/1npP4/B1P1PB2/2Q2PPP/R3K2R w KQ - 0 18,True,False,False,,,
"['advantage', 'kingsideAttack', 'middlegame', 'pin', 'short']",923.0,r1b2rk1/ppp3pp/3pqb2/8/2P1pP2/1Q4PP/PP1P2B1/R1B2RK1 w - - 1 16,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",923.0,1r3rk1/p7/2npN1pQ/1p1p3P/3P3q/1P5P/PB3P2/7K w - - 0 34,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'master', 'short']",1717.0,8/pR6/5p1k/6r1/q2p3P/3PpQ2/1PP3P1/7K b - - 0 29,True,False,True,,,
"['crushing', 'endgame', 'short']",1361.0,6k1/1p3p1p/p1p1r3/8/5bPp/2Q2P2/PPP2K1P/8 b - - 1 29,True,False,False,,,
"['advantage', 'defensiveMove', 'hangingPiece', 'middlegame', 'short']",1426.0,2r4r/2q2k1p/p2NnppQ/3p4/8/5P2/PPP3PP/R4RK1 b - - 2 22,True,False,False,,,
"['endgame', 'hookMate', 'mate', 'mateIn2', 'short']",1095.0,r5r1/5k2/1p1PN1p1/1NpP1n2/p1P2P2/P3p3/5P2/R2K3R w - - 1 34,True,False,False,,,
"['crushing', 'discoveredAttack', 'endgame', 'long']",1952.0,3r2k1/p3qppp/1p3b2/3B4/8/5QP1/P4PKP/3R4 w - - 0 31,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'intermezzo', 'rookEndgame', 'short']",1583.0,2k5/4p3/5R2/8/3pP1p1/3P2pr/4P2P/6K1 b - - 0 33,True,False,False,,,
"['advantage', 'long', 'middlegame']",1678.0,4rrk1/pp3ppp/2p5/3p4/3P3q/2P2Q1b/PP1NN1P1/R1B2K2 w - - 1 16,True,False,False,,,
"['advantage', 'master', 'middlegame', 'short', 'trappedPiece']",1981.0,2r2rk1/4b1p1/p3p2p/4P3/b2N4/PNqp3P/5PP1/R2QR1K1 w - - 0 24,True,False,True,,,
"['bishopEndgame', 'crushing', 'endgame', 'master', 'short']",1879.0,8/8/3p1k2/p2P1bpP/4B3/4K3/P7/8 b - - 1 39,True,False,True,,,
"['crushing', 'endgame', 'queensideAttack', 'short']",1897.0,2k2r2/6p1/3P3p/1pN1p2P/1P1p1qP1/2r2PRK/8/7Q w - - 3 42,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",1014.0,7k/7p/3p4/1p4PR/p3p3/4q1r1/1PQR4/3K4 b - - 1 48,True,False,False,,,
"['advantage', 'endgame', 'long', 'skewer']",1014.0,4k2r/3pp2p/p3p1p1/1p2b3/8/3Pn2P/P2N1PP1/2R3K1 w k - 0 25,True,False,False,,,
"['advantage', 'endgame', 'knightEndgame', 'long']",2075.0,8/8/7p/6p1/1K2kp2/8/5PPP/4N3 b - - 1 48,True,False,False,,,
"['advantage', 'endgame', 'fork', 'short']",1082.0,8/1p6/2b1B1kp/1p1p2p1/2r5/P1P1KP2/1P1R4/8 b - - 6 39,True,False,False,,,
"['crushing', 'defensiveMove', 'middlegame', 'short']",1675.0,R4r2/1ppk2b1/3p1p2/3Np1pp/4P3/1PRPKP1b/1PP2B1P/5K2 w - - 2 25,False,False,,,,
"['advantage', 'capturingDefender', 'discoveredAttack', 'fork', 'middlegame', 'veryLong']",2021.0,r5k1/pp1b1pbp/1qn1r1p1/2Qp2B1/3P4/1B3N1P/PP3PP1/2R2RK1 b - - 0 16,True,False,False,,,
"['crushing', 'endgame', 'long']",2303.0,8/8/3R1pk1/3p2p1/3Pk3/1R2P1B1/2rr3P/6K1 b - - 11 47,False,False,,,,
"['advantage', 'endgame', 'fork', 'short']",1307.0,8/7p/2Pk1p2/1R2p1p1/1pB1P1P1/1r5P/2K3n1/8 b - - 4 50,True,False,False,,,
"['crushing', 'endgame', 'knightEndgame', 'master', 'short']",938.0,8/7p/1p3K2/2p5/2kn2NP/8/PP6/8 b - - 1 49,True,False,False,,,
"['crushing', 'middlegame', 'short']",1304.0,q3k3/r3n3/pQ2R1pB/1p6/6K1/1P6/P1P2P1P/R4b2 b - - 2 25,True,False,False,,,
"['advantage', 'kingsideAttack', 'middlegame', 'sacrifice', 'short']",1619.0,r1b1r1k1/1p1n1pb1/p3p1pp/q1p1P1N1/P1P5/1QN3PP/1P3PB1/R4RK1 w - - 0 17,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",949.0,8/7k/4rp2/2Qp4/3PqPK1/p4P2/6R1/8 b - - 0 41,True,False,False,,,
"['advantage', 'middlegame', 'short']",1283.0,3r3k/p5pp/1rn2q2/1p6/4p1P1/PBp2P2/1P3Q1P/R4R1K w - - 0 27,True,False,True,,,
"['mate', 'mateIn2', 'middlegame', 'sacrifice', 'short']",1090.0,4r1r1/pp3kpp/2ppp3/q2n2QN/3Pb2N/1B6/PPP2P1P/R3K3 w Q - 9 18,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'pin', 'queenRookEndgame', 'short']",635.0,8/5k2/1p3q2/1pp4p/p7/1P4RP/P2R1K2/8 w - - 2 54,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'knightEndgame', 'quietMove', 'veryLong', 'zugzwang']",2304.0,8/p4p2/4k3/2pNnpK1/2N4P/1P2P1n1/P7/8 b - - 4 47,True,False,False,,,
"['advantage', 'middlegame', 'short']",1992.0,r4rk1/pp3ppp/2n1p3/2bp4/3q4/1N4P1/PnP1QPBP/R3B1K1 w - - 0 16,True,False,False,,,
['endgame'],1000.0,1kr5/5ppp/1p6/p2P4/P7/8/7P/KRq5 w - - 0 36,True,False,False,,,
"['advantage', 'middlegame', 'sacrifice', 'short']",2120.0,r1b4r/pp1nkppp/2p2n2/q3P3/3p4/2NB1N2/PPP2PPP/R2Q1RK1 w - - 0 10,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'long', 'pawnEndgame']",1895.0,8/5kp1/5P2/4p1K1/6P1/8/8/8 w - - 1 44,True,False,False,,,
"['crushing', 'long', 'middlegame']",1949.0,4rrk1/p4p1p/2n3p1/1qb5/7Q/2B2b1P/1PP2PP1/3RR1K1 w - - 0 25,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",1371.0,r2qnrk1/1pp1bp2/p1p3pQ/5bP1/8/1P6/PBPN2PP/R4R1K w - - 1 16,True,False,False,,,
"['crushing', 'middlegame', 'pin', 'short']",1034.0,r3kb1r/1p3ppp/pqn5/1B1p4/Q4B2/8/PP3PPP/RN4K1 w kq - 0 16,True,False,False,,,
"['attraction', 'kingsideAttack', 'long', 'mate', 'mateIn3', 'middlegame', 'sacrifice']",2217.0,2k2r2/pb1p2Qp/1p2pr2/8/2pP4/P1P2PPq/2PB3P/R4RK1 b - - 1 21,True,False,False,,,
"['advantage', 'middlegame', 'pin', 'short']",1146.0,r1b1k2r/5p2/p1ppq3/4P3/8/P1P2R2/PP2Q1pN/R5K1 w kq - 0 24,True,False,True,,,
"['mate', 'mateIn1', 'oneMove', 'opening', 'pin']",1841.0,r1bq1kr1/pp2p1bp/3p3B/7Q/3n4/8/PP3PPP/RN2K2R w KQ - 4 13,True,False,False,,,
"['advantage', 'discoveredAttack', 'long', 'middlegame']",944.0,3r1k1r/1pq3pp/p1bb1n2/6B1/2BQ4/2N5/PPP2PPP/2KR3R b - - 4 16,True,False,False,,,
"['backRankMate', 'endgame', 'mate', 'mateIn1', 'oneMove']",1052.0,5rk1/1r4pp/p7/2p1p3/P1RnN3/1P6/6PP/5Q1K b - - 0 31,True,True,False,"['endgame', 'mateIn1', 'mate', 'backRankMate', 'hangingPiece', 'oneMove']",657.04345703125,True
