target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['advantage', 'deflection', 'endgame', 'long']",1500.0,8/5ppk/Qp5p/4pq2/4n3/P3P1N1/1P3PPP/3R2K1 b - - 4 31,True,False,False,,,
"['long', 'mate', 'mateIn3', 'middlegame']",1993.0,2r2k1r/1bq2p2/p2b1p1p/4p2Q/N3P2N/1P4P1/5P2/R3KB1R b KQ - 0 23,True,False,False,,,
"['crushing', 'endgame', 'long']",1480.0,8/2rR1N2/1R4p1/2r2p1k/4nP2/p6P/6PK/8 w - - 1 45,True,False,True,,,
"['backRankMate', 'mate', 'mateIn2', 'middlegame', 'short']",700.0,r5k1/3R1ppp/p3p3/1p2q3/1P2b3/PB2P3/r4PPP/3R2K1 w - - 0 21,True,True,False,"['middlegame', 'mateIn2', 'mate', 'backRankMate', 'short']",683.9896240234375,True
"['endgame', 'mate', 'mateIn2', 'short']",1184.0,6k1/5RRp/p3N1p1/1p1p2K1/1n3P1P/P5P1/4q2r/8 w - - 13 37,False,False,,,,
"['advantage', 'endgame', 'pawnEndgame', 'short']",2015.0,8/5p2/p1k1p1pp/1Pp1P3/P3K1PP/1P6/6P1/8 b - - 0 31,True,False,False,,,
"['backRankMate', 'endgame', 'fork', 'long', 'mate', 'mateIn3', 'sacrifice']",1173.0,8/5r1k/3Q2p1/p1p4p/1p1P4/1P1P2P1/1P1Bq1PP/4R1K1 b - - 2 35,True,False,False,,,
"['advantage', 'fork', 'opening', 'short']",1414.0,r1bqkbnr/ppp2pp1/3pn2p/8/2BPP3/1Q3N2/PP3PPP/R1B1K2R w KQkq - 4 10,True,False,False,,,
"['advantage', 'defensiveMove', 'deflection', 'endgame', 'exposedKing', 'veryLong']",2335.0,8/6pk/p5qp/3Q1p2/1P6/2P2R2/3R1K2/4r3 b - - 1 35,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1163.86865234375,False
"['advantage', 'endgame', 'fork', 'master', 'short']",1389.0,r5k1/1p3p2/4q1pp/2npPN2/6Q1/p7/6PP/4R2K w - - 0 33,True,False,False,,,
