target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'defensiveMove', 'middlegame', 'short']",-57.0,1kn5/2P3p1/p7/1pb1r3/6B1/5R2/b2B1PP1/3R1K2 b - - 14 49,True,False,False,,,
"['crushing', 'endgame', 'long', 'master', 'pawnEndgame']",-96.0,6k1/8/4Pp2/7p/3P2Pp/8/8/6K1 b - - 0 41,True,False,False,,,
"['crushing', 'endgame', 'master', 'queenEndgame', 'short']",-3.0,8/p4k2/1p3p2/6q1/1PP1Pp2/1K3P2/6Q1/8 w - - 0 38,True,False,False,,,
"['crushing', 'endgame', 'kingsideAttack', 'short']",70.0,r1b3k1/1ppq1pp1/p2p3p/2Bp4/8/P7/1PP1QPPP/R3R1K1 w - - 0 15,True,False,False,,,
"['advantage', 'endgame', 'short']",38.0,2r4k/p5pp/1p4p1/3R1r2/3P4/5P2/PnP4P/4R1K1 w - - 0 31,True,False,False,,,
"['advantage', 'endgame', 'fork', 'short']",-91.0,4q1k1/5rp1/p1pr1n1p/8/1P2R3/P4P1P/2N2P2/4R1K1 w - - 0 33,True,False,False,,,
"['backRankMate', 'mate', 'mateIn2', 'middlegame', 'short']",-98.0,6k1/1p3ppp/pN2r3/8/1n6/q5P1/P1r2PBP/R2R2K1 w - - 0 24,True,True,False,"['middlegame', 'mateIn2', 'mate', 'backRankMate', 'short']",735.4549560546875,True
"['crushing', 'kingsideAttack', 'long', 'middlegame']",-87.0,2r4k/1p1q1pbp/3pbnn1/1P2p3/4P3/2QP1NPP/P1R2PB1/3R2K1 w - - 2 23,True,False,False,,,
"['advantage', 'fork', 'middlegame', 'short']",42.0,r3r1k1/p1p1n2p/4bq2/3p2n1/3P1Q2/2P3pP/PP4P1/R4RK1 w - - 1 22,True,False,False,,,
"['advantage', 'long', 'opening']",50.0,rn1k1r2/ppq1bQpp/3p1n2/8/1P6/5NP1/P2P1P1P/R1B1RBK1 b - - 2 16,True,False,False,,,
"['advantage', 'long', 'middlegame', 'pin']",-105.0,2k3r1/ppbb1q2/2p1r3/8/4QP2/2P5/PP4PP/R1B1R2K w - - 1 22,True,False,False,,,
"['endgame', 'equality', 'rookEndgame', 'short']",-123.0,3r4/3r3k/R5pp/4pp2/P7/4PR2/1P4PP/6K1 b - - 0 32,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'exposedKing', 'pawnEndgame', 'veryLong']",-104.0,6k1/2p5/1p1p2p1/1P1Pp2p/PK2P3/5P2/8/8 w - - 0 61,True,False,True,,,
"['crushing', 'discoveredAttack', 'endgame', 'master', 'short']",-116.0,2r5/1br4k/pp2p1p1/3p4/3P2Rp/4PP1P/PP2N1P1/2R3K1 b - - 8 32,True,False,False,,,
"['advantage', 'deflection', 'endgame', 'long']",37.0,6qk/6rp/3pp2p/p1p5/P1P1P1P1/1P3R1P/4NR1K/8 w - - 0 28,True,False,False,,,
"['advantage', 'endgame', 'fork', 'master', 'short']",17.0,6k1/8/4b1pp/1p1r2p1/p5R1/8/1P5K/6R1 w - - 0 32,True,False,True,,,
"['endgame', 'hangingPiece', 'mate', 'mateIn1', 'oneMove']",-97.0,4q1k1/1p5p/1b4p1/3p4/p5P1/7P/4QP2/6K1 w - - 0 31,True,False,False,,,
"['advantage', 'fork', 'middlegame', 'short']",125.0,6k1/pp2r1pb/3rp1q1/7p/3P1PQP/2P2B2/8/R4RK1 w - - 0 28,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",12.0,1nk5/1pp2p2/1p1r1r2/5Pp1/7p/2N2P1q/PPP1QK1P/R3R3 w - - 0 25,True,False,False,,,
"['advantage', 'kingsideAttack', 'middlegame', 'short']",21.0,r3r1k1/pp3pbp/5pp1/3q4/1B3P2/2P2P1P/PP2R1P1/4R1K1 w - - 0 20,True,False,False,,,
"['advantage', 'kingsideAttack', 'long', 'middlegame']",-86.0,2r3k1/1b1p1ppp/1p1q1n2/3p4/pP3P2/P2PP3/1BQN3P/2R3K1 w - - 1 21,True,True,False,"['middlegame', 'advantage', 'kingsideAttack', 'long']",923.8709716796875,True
"['advantage', 'attraction', 'capturingDefender', 'fork', 'middlegame', 'pin', 'veryLong']",-48.0,8/1p3p2/pb3nkr/8/4N1p1/P3PP1b/4Q1RP/4R2K b - - 0 31,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'pawnEndgame', 'promotion', 'quietMove', 'veryLong']",-109.0,8/6K1/p7/8/1k4P1/8/8/8 b - - 0 45,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",-76.0,r5k1/pppb2p1/4qn1p/3p4/8/2P2Q2/PPB2PPP/R1B1R1K1 b - - 0 18,True,True,False,"['middlegame', 'mateIn1', 'mate', 'hangingPiece', 'kingsideAttack', 'oneMove']",559.0856323242188,True
"['advancedPawn', 'crushing', 'endgame', 'short']",-89.0,1k3r2/4n3/P2rP1p1/8/7p/8/6P1/5R1K w - - 0 46,True,False,False,,,
