target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match,main_line,best_move_matches
,,r4rk1/1pp1npp1/p2p1q1p/4p1B1/2BPP1b1/2P2N2/PP3P2/R2QRNK1 b - - 0 16,g4f3,True,False,False,,,,,
,,5k2/2r1n3/p5q1/6Q1/1np1P2P/2N5/1P3P2/4R1K1 w - - 2 38,g5f4,True,False,True,,,,,
,,2r5/1p4qk/p3bp2/4p3/7N/1P1P1P1P/1PP3P1/R1R3K1 b - - 0 25,g7h6,True,False,False,,,,,
,,1k4r1/1b6/1p6/3qPQp1/3P3p/1NP4P/5PP1/R1R3K1 b - - 0 41,d5g2,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",894.603515625,,d5g2,True
,,3r1r2/pk1n2p1/1pp5/2p4p/Q3bB1q/4P2P/PP2BPPK/2R2R2 b - - 1 19,f8f4,True,False,False,,,,,
,,6r1/pp6/4p3/4p3/4P1k1/P1P2r2/1P3P2/R4K2 w - - 0 36,f1e2,True,False,False,,,,,
,,r3kb1r/ppp3pp/2p1bp2/8/3qN3/3B4/PPP2P1P/R1BQKR2 b Qkq - 1 12,f8b4,True,False,False,,,,,
,,1r4k1/p2R1Bp1/P6p/4N3/7P/5P2/1p2P1K1/r7 b - - 0 39,g8h8,True,False,False,,,,,
,,1n3rk1/r2q1ppp/p1p1p1n1/2bp2Q1/P7/6P1/1PP1PPBP/RNB2RK1 w - - 1 13,g5c5,True,False,False,,,,,
,,8/1P4p1/8/2R2P2/6K1/2N1kP2/2r5/8 b - - 0 51,c2c4,True,False,False,,,,,
,,2R5/k2p4/4pB2/3q1p2/1pR5/4P3/5Pb1/6K1 w - - 1 41,c4c7,True,False,False,,,,,
,,3R3Q/5p2/7p/5Ppk/2b5/6P1/3qr2P/5RK1 b - - 2 42,d2e3,True,False,False,,,,,
,,1r6/1p6/p7/2k5/3nB2R/P4P2/6PK/8 b - - 2 42,d4f3,True,False,True,,,,,
,,1r4k1/4Rp2/3p2p1/2pPN1B1/2P5/3P1Q2/5PPK/qr6 b - - 0 37,b1h1,True,False,False,,,,,
,,r4r1k/2q3pp/b3R1p1/p1PQ2P1/Pp1P4/6P1/5P2/R1B3K1 b - - 0 23,a6b7,True,False,False,,,,,
,,8/5Qpk/p3p2r/4P3/P4P2/1R4P1/3q3P/6K1 b - - 0 38,d2e1,True,False,True,,,,,
,,rn5r/ppkb2pp/5n2/4p3/1q2P3/2N1PQ2/PPP3PP/2KR2NR w - - 4 12,c3d5,True,True,False,"['middlegame', 'advantage', 'sacrifice', 'fork', 'discoveredAttack', 'long']",1848.6243896484375,,f3f6 g7f6 c3d5 c7d6 d5b4,False
