target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['oneMove', 'middlegame', 'advantage', 'intermezzo']",590.7763061523438,3qk2r/6pp/p1b1p1n1/2p2p2/P1PP1B2/5Q2/1P3PPP/2R1K2R b Kk - 0 19,True,False,False,,,
"['veryLong', 'middlegame', 'advantage', 'kingsideAttack']",1828.4747314453125,3r1rk1/1b4pp/p3p3/1p3pQ1/3qP2R/7R/PPP3PP/7K w - - 0 23,True,False,False,,,
"['veryLong', 'opening', 'mate', 'mateIn4', 'dovetailMate']",2402.40234375,rn1q1b1r/pppnk1pp/5p2/3p3Q/3Pp3/8/PPP2PPP/RNB1KB1R w KQ - 2 9,True,False,False,,,
"['oneMove', 'opening', 'crushing', 'kingsideAttack']",3247.805908203125,r2qr2k/pp3pp1/2p1b2p/6n1/3B4/2P2P2/PP3P2/1BRQ2RK b - - 0 19,True,False,False,,,
"['short', 'middlegame', 'advantage', 'fork']",657.16845703125,r2qk2r/pp1n1ppp/4p3/1Bpp4/3P1B2/4PQ2/PP3PPP/R3K2R b KQkq - 0 11,True,False,False,,,
"['short', 'opening', 'crushing', 'capturingDefender']",2006.9007568359375,rn1qkb1r/pppn2pp/4pp2/3pN3/3P1B2/8/PPP1QPPP/RN2K2R w KQkq - 0 9,True,False,False,,,
"['long', 'opening', 'crushing', 'skewer']",3288.7861328125,r4r1k/ppp3pp/5p2/n2Bp1N1/3q3P/5Qb1/PPP3P1/R1B2K1R b - - 3 18,True,False,False,,,
"['oneMove', 'middlegame', 'crushing', 'castling']",1563.4088134765625,r2qk2r/ppp2ppp/3p4/3Pp3/4n3/7P/PPPBQPP1/R3K2R w KQkq - 0 12,True,False,False,,,
"['veryLong', 'opening', 'advantage', 'clearance']",477.04937744140625,rn1k1b1r/1ppb2p1/p5B1/7p/q2B3P/2PQ4/PP3PP1/R3KB1R b K - 0 18,True,False,False,,,
"['short', 'middlegame', 'advantage', 'deflection']",1535.33154296875,r2qk3/ppp1p2p/4np1b/3nN3/3P4/8/PPP1Q1PP/R4RK1 w q - 0 16,True,False,False,,,
"['long', 'opening', 'advantage', 'advancedPawn']",2041.1634521484375,rnbqk2r/pp4pp/3bpp2/2ppN2n/3P1B2/4P3/PPP1BPPP/RN1QK2R b KQkq - 0 7,True,False,False,,,
"['long', 'middlegame', 'mate', 'mateIn1', 'bodenMate']",2053.509521484375,r1bqk1nr/1p1p2pp/p1n1pp2/6B1/2P1P3/2P2Q2/P3BPPP/R2K3R w kq - 0 11,True,False,False,,,
"['veryLong', 'endgame', 'queenEndgame', 'crushing', 'intermezzo']",1001.303955078125,6k1/6p1/1p3p2/pP2pPp1/P1P3P1/6PK/8/2q5 w - - 0 36,True,False,False,,,
"['oneMove', 'middlegame', 'advantage', 'castling']",2155.5517578125,r3k2r/1p1nn1pp/p4p2/q2PN3/5Q2/2N5/PPP2P2/R3K1R1 w Qkq - 0 18,True,False,False,,,
"['short', 'endgame', 'rookEndgame', 'crushing', 'exposedKing']",2056.69580078125,8/6k1/2p3pk/r1P1pr1p/3p3P/pP1R1P2/P6K/6R1 b - - 3 40,False,False,,,,
"['short', 'opening', 'advantage', 'promotion']",548.5531616210938,r3kbnr/p1p3p1/1p3p1P/3pq2P/4p3/3B1n1N/PPPB1P2/RN1K3R w kq - 0 18,True,False,False,,,
